ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,31202,SUMMARY.TXT,0.32688,0.50332,0.39635,3

ROUGE-2+StopWordRemoval,31202,SUMMARY.TXT,0.17005,0.23849,0.19854,3

ROUGE-SU4+StopWordRemoval,31202,SUMMARY.TXT,0.23499,0.25500,0.24459,3

ROUGE-L+StopWordRemoval,31681,SUMMARY.TXT,0.26615,0.61739,0.37195,4

ROUGE-1+StopWordRemoval,31681,SUMMARY.TXT,0.20015,0.75531,0.31644,4

ROUGE-2+StopWordRemoval,31681,SUMMARY.TXT,0.12601,0.40957,0.19272,4

ROUGE-SU4+StopWordRemoval,31681,SUMMARY.TXT,0.15398,0.41445,0.22454,4

ROUGE-L+StopWordRemoval,32771,SUMMARY.TXT,0.35286,0.44622,0.39408,4

ROUGE-1+StopWordRemoval,32771,SUMMARY.TXT,0.31686,0.55317,0.40293,4

ROUGE-2+StopWordRemoval,32771,SUMMARY.TXT,0.14185,0.23514,0.17695,4

ROUGE-SU4+StopWordRemoval,32771,SUMMARY.TXT,0.19396,0.26170,0.22280,4

ROUGE-L+StopWordRemoval,32651,SUMMARY.TXT,0.20375,0.60628,0.30500,3

ROUGE-1+StopWordRemoval,32651,SUMMARY.TXT,0.14756,0.72576,0.24526,3

ROUGE-2+StopWordRemoval,32651,SUMMARY.TXT,0.07580,0.34094,0.12402,3

ROUGE-SU4+StopWordRemoval,32651,SUMMARY.TXT,0.10877,0.39817,0.17086,3

ROUGE-L+StopWordRemoval,32098,SUMMARY.TXT,0.22311,0.54352,0.31636,4

ROUGE-1+StopWordRemoval,32098,SUMMARY.TXT,0.15921,0.67913,0.25795,4

ROUGE-2+StopWordRemoval,32098,SUMMARY.TXT,0.08766,0.30599,0.13628,4

ROUGE-SU4+StopWordRemoval,32098,SUMMARY.TXT,0.12210,0.36327,0.18276,4

ROUGE-L+StopWordRemoval,31440,SUMMARY.TXT,0.25513,0.39706,0.31065,3

ROUGE-1+StopWordRemoval,31440,SUMMARY.TXT,0.20310,0.51559,0.29141,3

ROUGE-2+StopWordRemoval,31440,SUMMARY.TXT,0.06605,0.19375,0.09852,3

ROUGE-SU4+StopWordRemoval,31440,SUMMARY.TXT,0.11641,0.23006,0.15459,3

ROUGE-L+StopWordRemoval,31329,SUMMARY.TXT,0.32681,0.59624,0.42220,3

ROUGE-1+StopWordRemoval,31329,SUMMARY.TXT,0.28664,0.70824,0.40811,3

ROUGE-2+StopWordRemoval,31329,SUMMARY.TXT,0.18451,0.39544,0.25161,3

ROUGE-SU4+StopWordRemoval,31329,SUMMARY.TXT,0.23315,0.39259,0.29256,3

ROUGE-L+StopWordRemoval,30913,SUMMARY.TXT,0.28025,0.47340,0.35207,3

ROUGE-1+StopWordRemoval,30913,SUMMARY.TXT,0.25443,0.64017,0.36414,3

ROUGE-2+StopWordRemoval,30913,SUMMARY.TXT,0.10981,0.25663,0.15380,3

ROUGE-SU4+StopWordRemoval,30913,SUMMARY.TXT,0.16868,0.30029,0.21602,3

ROUGE-L+StopWordRemoval,31568,SUMMARY.TXT,0.20910,0.42726,0.28078,3

ROUGE-1+StopWordRemoval,31568,SUMMARY.TXT,0.17736,0.55294,0.26858,3

ROUGE-2+StopWordRemoval,31568,SUMMARY.TXT,0.06081,0.18766,0.09186,3

ROUGE-SU4+StopWordRemoval,31568,SUMMARY.TXT,0.09985,0.24137,0.14126,3

ROUGE-L+StopWordRemoval,31204,SUMMARY.TXT,0.28358,0.59084,0.38323,3

ROUGE-1+StopWordRemoval,31204,SUMMARY.TXT,0.27179,0.70321,0.39205,3

ROUGE-2+StopWordRemoval,31204,SUMMARY.TXT,0.13504,0.33512,0.19251,3

ROUGE-SU4+StopWordRemoval,31204,SUMMARY.TXT,0.18966,0.34839,0.24561,3

ROUGE-L+StopWordRemoval,31567,SUMMARY.TXT,0.24432,0.48026,0.32388,4

ROUGE-1+StopWordRemoval,31567,SUMMARY.TXT,0.16901,0.57274,0.26101,4

ROUGE-2+StopWordRemoval,31567,SUMMARY.TXT,0.07479,0.25671,0.11583,4

ROUGE-SU4+StopWordRemoval,31567,SUMMARY.TXT,0.11101,0.28182,0.15928,4

ROUGE-L+StopWordRemoval,32538,SUMMARY.TXT,0.25542,0.42716,0.31968,5

ROUGE-1+StopWordRemoval,32538,SUMMARY.TXT,0.19261,0.59323,0.29080,5

ROUGE-2+StopWordRemoval,32538,SUMMARY.TXT,0.08860,0.22357,0.12691,5

ROUGE-SU4+StopWordRemoval,32538,SUMMARY.TXT,0.12329,0.26891,0.16906,5

ROUGE-L+StopWordRemoval,32414,SUMMARY.TXT,0.22498,0.56951,0.32254,3

ROUGE-1+StopWordRemoval,32414,SUMMARY.TXT,0.17730,0.72142,0.28464,3

ROUGE-2+StopWordRemoval,32414,SUMMARY.TXT,0.10304,0.35549,0.15977,3

ROUGE-SU4+StopWordRemoval,32414,SUMMARY.TXT,0.13653,0.39208,0.20254,3

ROUGE-L+StopWordRemoval,32657,SUMMARY.TXT,0.39315,0.51250,0.44496,3

ROUGE-1+StopWordRemoval,32657,SUMMARY.TXT,0.34519,0.56133,0.42749,3

ROUGE-2+StopWordRemoval,32657,SUMMARY.TXT,0.18931,0.27766,0.22513,3

ROUGE-SU4+StopWordRemoval,32657,SUMMARY.TXT,0.23093,0.27304,0.25023,3

ROUGE-L+StopWordRemoval,33053,SUMMARY.TXT,0.35418,0.27778,0.31136,3

ROUGE-1+StopWordRemoval,33053,SUMMARY.TXT,0.34925,0.40839,0.37651,3

ROUGE-2+StopWordRemoval,33053,SUMMARY.TXT,0.16730,0.15631,0.16162,3

ROUGE-SU4+StopWordRemoval,33053,SUMMARY.TXT,0.22686,0.17521,0.19771,3

ROUGE-L+StopWordRemoval,33054,SUMMARY.TXT,0.30909,0.32870,0.31859,3

ROUGE-1+StopWordRemoval,33054,SUMMARY.TXT,0.31495,0.46847,0.37667,3

ROUGE-2+StopWordRemoval,33054,SUMMARY.TXT,0.12486,0.16441,0.14193,3

ROUGE-SU4+StopWordRemoval,33054,SUMMARY.TXT,0.18732,0.21111,0.19850,3

ROUGE-L+StopWordRemoval,31794,SUMMARY.TXT,0.22591,0.46789,0.30470,3

ROUGE-1+StopWordRemoval,31794,SUMMARY.TXT,0.11571,0.54312,0.19077,3

ROUGE-2+StopWordRemoval,31794,SUMMARY.TXT,0.08606,0.22300,0.12419,3

ROUGE-SU4+StopWordRemoval,31794,SUMMARY.TXT,0.10955,0.25059,0.15245,3

ROUGE-L+StopWordRemoval,32886,SUMMARY.TXT,0.30541,0.40611,0.34864,4

ROUGE-1+StopWordRemoval,32886,SUMMARY.TXT,0.33626,0.50969,0.40519,4

ROUGE-2+StopWordRemoval,32886,SUMMARY.TXT,0.16871,0.23604,0.19677,4

ROUGE-SU4+StopWordRemoval,32886,SUMMARY.TXT,0.21637,0.25085,0.23234,4

ROUGE-L+StopWordRemoval,33057,SUMMARY.TXT,0.15237,0.48851,0.23229,4

ROUGE-1+StopWordRemoval,33057,SUMMARY.TXT,0.09891,0.57452,0.16876,4

ROUGE-2+StopWordRemoval,33057,SUMMARY.TXT,0.05063,0.22087,0.08238,4

ROUGE-SU4+StopWordRemoval,33057,SUMMARY.TXT,0.06981,0.27059,0.11099,4

ROUGE-L+StopWordRemoval,30901,SUMMARY.TXT,0.23150,0.46785,0.30974,3

ROUGE-1+StopWordRemoval,30901,SUMMARY.TXT,0.20447,0.63200,0.30898,3

ROUGE-2+StopWordRemoval,30901,SUMMARY.TXT,0.05824,0.18576,0.08867,3

ROUGE-SU4+StopWordRemoval,30901,SUMMARY.TXT,0.10977,0.27478,0.15687,3

ROUGE-L+StopWordRemoval,31319,SUMMARY.TXT,0.33498,0.43798,0.37962,3

ROUGE-1+StopWordRemoval,31319,SUMMARY.TXT,0.30382,0.56200,0.39442,3

ROUGE-2+StopWordRemoval,31319,SUMMARY.TXT,0.14838,0.24449,0.18468,3

ROUGE-SU4+StopWordRemoval,31319,SUMMARY.TXT,0.20408,0.26519,0.23066,3

ROUGE-L+StopWordRemoval,30903,SUMMARY.TXT,0.26298,0.41527,0.32203,3

ROUGE-1+StopWordRemoval,30903,SUMMARY.TXT,0.20984,0.56270,0.30568,3

ROUGE-2+StopWordRemoval,30903,SUMMARY.TXT,0.12905,0.28172,0.17701,3

ROUGE-SU4+StopWordRemoval,30903,SUMMARY.TXT,0.15580,0.29558,0.20405,3

ROUGE-L+StopWordRemoval,32408,SUMMARY.TXT,0.32783,0.64172,0.43396,3

ROUGE-1+StopWordRemoval,32408,SUMMARY.TXT,0.29605,0.74969,0.42447,3

ROUGE-2+StopWordRemoval,32408,SUMMARY.TXT,0.20771,0.45455,0.28512,3

ROUGE-SU4+StopWordRemoval,32408,SUMMARY.TXT,0.24147,0.47503,0.32019,3

ROUGE-L+StopWordRemoval,30902,SUMMARY.TXT,0.31167,0.45070,0.36851,3

ROUGE-1+StopWordRemoval,30902,SUMMARY.TXT,0.33053,0.55378,0.41398,3

ROUGE-2+StopWordRemoval,30902,SUMMARY.TXT,0.14466,0.22439,0.17591,3

ROUGE-SU4+StopWordRemoval,30902,SUMMARY.TXT,0.21782,0.26240,0.23804,3

ROUGE-L+StopWordRemoval,31315,SUMMARY.TXT,0.20878,0.61355,0.31155,3

ROUGE-1+StopWordRemoval,31315,SUMMARY.TXT,0.18222,0.77324,0.29494,3

ROUGE-2+StopWordRemoval,31315,SUMMARY.TXT,0.10970,0.42776,0.17461,3

ROUGE-SU4+StopWordRemoval,31315,SUMMARY.TXT,0.12688,0.46986,0.19981,3

ROUGE-L+StopWordRemoval,31678,SUMMARY.TXT,0.25108,0.35317,0.29350,4

ROUGE-1+StopWordRemoval,31678,SUMMARY.TXT,0.22880,0.48779,0.31150,4

ROUGE-2+StopWordRemoval,31678,SUMMARY.TXT,0.09861,0.16095,0.12229,4

ROUGE-SU4+StopWordRemoval,31678,SUMMARY.TXT,0.14697,0.19197,0.16648,4

ROUGE-L+StopWordRemoval,32648,SUMMARY.TXT,0.30728,0.52506,0.38768,3

ROUGE-1+StopWordRemoval,32648,SUMMARY.TXT,0.27863,0.67564,0.39455,3

ROUGE-2+StopWordRemoval,32648,SUMMARY.TXT,0.14181,0.36376,0.20407,3

ROUGE-SU4+StopWordRemoval,32648,SUMMARY.TXT,0.17854,0.41026,0.24880,3

ROUGE-L+StopWordRemoval,31677,SUMMARY.TXT,0.31846,0.55821,0.40555,3

ROUGE-1+StopWordRemoval,31677,SUMMARY.TXT,0.27301,0.64090,0.38291,3

ROUGE-2+StopWordRemoval,31677,SUMMARY.TXT,0.16120,0.29000,0.20722,3

ROUGE-SU4+StopWordRemoval,31677,SUMMARY.TXT,0.21392,0.29808,0.24908,3

ROUGE-L+StopWordRemoval,31316,SUMMARY.TXT,0.24580,0.54647,0.33909,4

ROUGE-1+StopWordRemoval,31316,SUMMARY.TXT,0.19804,0.68223,0.30698,4

ROUGE-2+StopWordRemoval,31316,SUMMARY.TXT,0.08899,0.32261,0.13950,4

ROUGE-SU4+StopWordRemoval,31316,SUMMARY.TXT,0.12985,0.36513,0.19157,4

ROUGE-L+StopWordRemoval,32074,SUMMARY.TXT,0.19905,0.47244,0.28009,4

ROUGE-1+StopWordRemoval,32074,SUMMARY.TXT,0.16731,0.58377,0.26008,4

ROUGE-2+StopWordRemoval,32074,SUMMARY.TXT,0.06529,0.20921,0.09952,4

ROUGE-SU4+StopWordRemoval,32074,SUMMARY.TXT,0.09984,0.25952,0.14421,4

ROUGE-L+StopWordRemoval,32196,SUMMARY.TXT,0.35176,0.43571,0.38926,3

ROUGE-1+StopWordRemoval,32196,SUMMARY.TXT,0.32383,0.52954,0.40189,3

ROUGE-2+StopWordRemoval,32196,SUMMARY.TXT,0.20946,0.27632,0.23829,3

ROUGE-SU4+StopWordRemoval,32196,SUMMARY.TXT,0.23843,0.27414,0.25504,3

ROUGE-L+StopWordRemoval,32072,SUMMARY.TXT,0.32217,0.47256,0.38313,3

ROUGE-1+StopWordRemoval,32072,SUMMARY.TXT,0.26687,0.55902,0.36128,3

ROUGE-2+StopWordRemoval,32072,SUMMARY.TXT,0.13965,0.27232,0.18462,3

ROUGE-SU4+StopWordRemoval,32072,SUMMARY.TXT,0.17891,0.29500,0.22273,3

ROUGE-L+StopWordRemoval,32071,SUMMARY.TXT,0.26108,0.55085,0.35426,4

ROUGE-1+StopWordRemoval,32071,SUMMARY.TXT,0.21136,0.65426,0.31950,4

ROUGE-2+StopWordRemoval,32071,SUMMARY.TXT,0.10781,0.29626,0.15809,4

ROUGE-SU4+StopWordRemoval,32071,SUMMARY.TXT,0.13988,0.30232,0.19126,4

ROUGE-L+StopWordRemoval,32190,SUMMARY.TXT,0.31466,0.48112,0.38048,3

ROUGE-1+StopWordRemoval,32190,SUMMARY.TXT,0.30295,0.58428,0.39901,3

ROUGE-2+StopWordRemoval,32190,SUMMARY.TXT,0.16477,0.25926,0.20149,3

ROUGE-SU4+StopWordRemoval,32190,SUMMARY.TXT,0.21455,0.28190,0.24366,3

ROUGE-L+StopWordRemoval,32874,SUMMARY.TXT,0.27409,0.39640,0.32409,4

ROUGE-1+StopWordRemoval,32874,SUMMARY.TXT,0.22591,0.51864,0.31473,4

ROUGE-2+StopWordRemoval,32874,SUMMARY.TXT,0.08356,0.17720,0.11357,4

ROUGE-SU4+StopWordRemoval,32874,SUMMARY.TXT,0.13953,0.22054,0.17092,4

ROUGE-L+StopWordRemoval,31784,SUMMARY.TXT,0.34411,0.50069,0.40789,3

ROUGE-1+StopWordRemoval,31784,SUMMARY.TXT,0.32258,0.61648,0.42354,3

ROUGE-2+StopWordRemoval,31784,SUMMARY.TXT,0.17256,0.34760,0.23063,3

ROUGE-SU4+StopWordRemoval,31784,SUMMARY.TXT,0.22093,0.36749,0.27596,3

ROUGE-L+StopWordRemoval,31664,SUMMARY.TXT,0.25170,0.48860,0.33225,3

ROUGE-1+StopWordRemoval,31664,SUMMARY.TXT,0.22714,0.62804,0.33362,3

ROUGE-2+StopWordRemoval,31664,SUMMARY.TXT,0.11880,0.36429,0.17917,3

ROUGE-SU4+StopWordRemoval,31664,SUMMARY.TXT,0.14935,0.39635,0.21695,3

ROUGE-L+StopWordRemoval,31540,SUMMARY.TXT,0.27840,0.48819,0.35459,3

ROUGE-1+StopWordRemoval,31540,SUMMARY.TXT,0.28506,0.59653,0.38577,3

ROUGE-2+StopWordRemoval,31540,SUMMARY.TXT,0.11559,0.25039,0.15817,3

ROUGE-SU4+StopWordRemoval,31540,SUMMARY.TXT,0.16081,0.29359,0.20780,3

ROUGE-L+StopWordRemoval,31661,SUMMARY.TXT,0.23522,0.48400,0.31659,3

ROUGE-1+StopWordRemoval,31661,SUMMARY.TXT,0.21250,0.56149,0.30832,3

ROUGE-2+StopWordRemoval,31661,SUMMARY.TXT,0.09628,0.27737,0.14294,3

ROUGE-SU4+StopWordRemoval,31661,SUMMARY.TXT,0.13677,0.28699,0.18526,3

ROUGE-L+StopWordRemoval,32197,SUMMARY.TXT,0.34166,0.34856,0.34508,3

ROUGE-1+StopWordRemoval,32197,SUMMARY.TXT,0.38555,0.44835,0.41458,3

ROUGE-2+StopWordRemoval,32197,SUMMARY.TXT,0.20707,0.22115,0.21388,3

ROUGE-SU4+StopWordRemoval,32197,SUMMARY.TXT,0.27718,0.23666,0.25532,3

ROUGE-L+StopWordRemoval,31546,SUMMARY.TXT,0.30504,0.32073,0.31269,4

ROUGE-1+StopWordRemoval,31546,SUMMARY.TXT,0.28606,0.43891,0.34637,4

ROUGE-2+StopWordRemoval,31546,SUMMARY.TXT,0.07774,0.10887,0.09071,4

ROUGE-SU4+StopWordRemoval,31546,SUMMARY.TXT,0.15486,0.17006,0.16210,4

ROUGE-L+StopWordRemoval,31424,SUMMARY.TXT,0.26719,0.64103,0.37717,3

ROUGE-1+StopWordRemoval,31424,SUMMARY.TXT,0.19276,0.74119,0.30595,3

ROUGE-2+StopWordRemoval,31424,SUMMARY.TXT,0.13440,0.44747,0.20671,3

ROUGE-SU4+StopWordRemoval,31424,SUMMARY.TXT,0.15889,0.44640,0.23436,3

ROUGE-L+StopWordRemoval,32879,SUMMARY.TXT,0.25848,0.54397,0.35044,3

ROUGE-1+StopWordRemoval,32879,SUMMARY.TXT,0.22161,0.63255,0.32823,3

ROUGE-2+StopWordRemoval,32879,SUMMARY.TXT,0.10231,0.36364,0.15969,3

ROUGE-SU4+StopWordRemoval,32879,SUMMARY.TXT,0.13155,0.35899,0.19255,3

ROUGE-L+StopWordRemoval,31306,SUMMARY.TXT,0.31189,0.56805,0.40269,3

ROUGE-1+StopWordRemoval,31306,SUMMARY.TXT,0.26459,0.72069,0.38707,3

ROUGE-2+StopWordRemoval,31306,SUMMARY.TXT,0.14151,0.40286,0.20945,3

ROUGE-SU4+StopWordRemoval,31306,SUMMARY.TXT,0.18767,0.44410,0.26384,3

ROUGE-L+StopWordRemoval,32185,SUMMARY.TXT,0.35621,0.46797,0.40452,3

ROUGE-1+StopWordRemoval,32185,SUMMARY.TXT,0.33003,0.58733,0.42259,3

ROUGE-2+StopWordRemoval,32185,SUMMARY.TXT,0.18457,0.28524,0.22412,3

ROUGE-SU4+StopWordRemoval,32185,SUMMARY.TXT,0.23904,0.31312,0.27111,3

ROUGE-L+StopWordRemoval,32061,SUMMARY.TXT,0.26422,0.41436,0.32268,4

ROUGE-1+StopWordRemoval,32061,SUMMARY.TXT,0.23478,0.54153,0.32755,4

ROUGE-2+StopWordRemoval,32061,SUMMARY.TXT,0.12846,0.24490,0.16852,4

ROUGE-SU4+StopWordRemoval,32061,SUMMARY.TXT,0.16767,0.26553,0.20555,4

ROUGE-L+StopWordRemoval,32183,SUMMARY.TXT,0.34678,0.35440,0.35055,3

ROUGE-1+StopWordRemoval,32183,SUMMARY.TXT,0.45133,0.46327,0.45722,3

ROUGE-2+StopWordRemoval,32183,SUMMARY.TXT,0.17355,0.16749,0.17047,3

ROUGE-SU4+StopWordRemoval,32183,SUMMARY.TXT,0.25514,0.20781,0.22906,3

ROUGE-L+StopWordRemoval,32180,SUMMARY.TXT,0.28814,0.43056,0.34524,4

ROUGE-1+StopWordRemoval,32180,SUMMARY.TXT,0.22401,0.54382,0.31732,4

ROUGE-2+StopWordRemoval,32180,SUMMARY.TXT,0.10944,0.21182,0.14432,4

ROUGE-SU4+StopWordRemoval,32180,SUMMARY.TXT,0.16327,0.24798,0.19690,4

ROUGE-L+StopWordRemoval,33039,SUMMARY.TXT,0.29010,0.42628,0.34524,3

ROUGE-1+StopWordRemoval,33039,SUMMARY.TXT,0.31128,0.59037,0.40763,3

ROUGE-2+StopWordRemoval,33039,SUMMARY.TXT,0.13038,0.20596,0.15968,3

ROUGE-SU4+StopWordRemoval,33039,SUMMARY.TXT,0.19008,0.26069,0.21985,3

ROUGE-L+StopWordRemoval,33037,SUMMARY.TXT,0.30036,0.27568,0.28749,3

ROUGE-1+StopWordRemoval,33037,SUMMARY.TXT,0.34526,0.41456,0.37675,3

ROUGE-2+StopWordRemoval,33037,SUMMARY.TXT,0.11837,0.12847,0.12321,3

ROUGE-SU4+StopWordRemoval,33037,SUMMARY.TXT,0.18190,0.17029,0.17591,3

ROUGE-L+StopWordRemoval,31654,SUMMARY.TXT,0.23158,0.37595,0.28661,4

ROUGE-1+StopWordRemoval,31654,SUMMARY.TXT,0.22382,0.44053,0.29683,4

ROUGE-2+StopWordRemoval,31654,SUMMARY.TXT,0.06812,0.21220,0.10314,4

ROUGE-SU4+StopWordRemoval,31654,SUMMARY.TXT,0.12252,0.21446,0.15595,4

ROUGE-L+StopWordRemoval,33038,SUMMARY.TXT,0.33616,0.35934,0.34737,3

ROUGE-1+StopWordRemoval,33038,SUMMARY.TXT,0.36480,0.52306,0.42983,3

ROUGE-2+StopWordRemoval,33038,SUMMARY.TXT,0.16679,0.21143,0.18648,3

ROUGE-SU4+StopWordRemoval,33038,SUMMARY.TXT,0.22790,0.25551,0.24092,3

ROUGE-L+StopWordRemoval,33035,SUMMARY.TXT,0.29863,0.29517,0.29689,3

ROUGE-1+StopWordRemoval,33035,SUMMARY.TXT,0.30269,0.45090,0.36222,3

ROUGE-2+StopWordRemoval,33035,SUMMARY.TXT,0.11180,0.13855,0.12375,3

ROUGE-SU4+StopWordRemoval,33035,SUMMARY.TXT,0.16898,0.18524,0.17674,3

ROUGE-L+StopWordRemoval,32067,SUMMARY.TXT,0.37485,0.50079,0.42876,3

ROUGE-1+StopWordRemoval,32067,SUMMARY.TXT,0.34050,0.57904,0.42883,3

ROUGE-2+StopWordRemoval,32067,SUMMARY.TXT,0.17861,0.27446,0.21640,3

ROUGE-SU4+StopWordRemoval,32067,SUMMARY.TXT,0.22556,0.28955,0.25358,3

ROUGE-L+StopWordRemoval,33036,SUMMARY.TXT,0.33511,0.32627,0.33063,3

ROUGE-1+StopWordRemoval,33036,SUMMARY.TXT,0.32205,0.46429,0.38031,3

ROUGE-2+StopWordRemoval,33036,SUMMARY.TXT,0.12790,0.16041,0.14232,3

ROUGE-SU4+StopWordRemoval,33036,SUMMARY.TXT,0.18698,0.20358,0.19493,3

ROUGE-L+StopWordRemoval,31650,SUMMARY.TXT,0.31140,0.40946,0.35376,3

ROUGE-1+StopWordRemoval,31650,SUMMARY.TXT,0.33872,0.56050,0.42226,3

ROUGE-2+StopWordRemoval,31650,SUMMARY.TXT,0.15593,0.26441,0.19618,3

ROUGE-SU4+StopWordRemoval,31650,SUMMARY.TXT,0.22194,0.29238,0.25233,3

ROUGE-L+StopWordRemoval,32186,SUMMARY.TXT,0.29184,0.50000,0.36856,3

ROUGE-1+StopWordRemoval,32186,SUMMARY.TXT,0.24235,0.63755,0.35120,3

ROUGE-2+StopWordRemoval,32186,SUMMARY.TXT,0.13058,0.32335,0.18603,3

ROUGE-SU4+StopWordRemoval,32186,SUMMARY.TXT,0.16297,0.32487,0.21706,3

ROUGE-L+StopWordRemoval,33154,SUMMARY.TXT,0.31899,0.34541,0.33167,3

ROUGE-1+StopWordRemoval,33154,SUMMARY.TXT,0.30655,0.44880,0.36428,3

ROUGE-2+StopWordRemoval,33154,SUMMARY.TXT,0.12098,0.17149,0.14187,3

ROUGE-SU4+StopWordRemoval,33154,SUMMARY.TXT,0.16883,0.20138,0.18367,3

ROUGE-L+StopWordRemoval,33155,SUMMARY.TXT,0.31327,0.29585,0.30431,4

ROUGE-1+StopWordRemoval,33155,SUMMARY.TXT,0.33507,0.37855,0.35548,4

ROUGE-2+StopWordRemoval,33155,SUMMARY.TXT,0.16791,0.17378,0.17079,4

ROUGE-SU4+StopWordRemoval,33155,SUMMARY.TXT,0.22874,0.18228,0.20288,4

ROUGE-L+StopWordRemoval,31659,SUMMARY.TXT,0.27370,0.59453,0.37484,3

ROUGE-1+StopWordRemoval,31659,SUMMARY.TXT,0.21782,0.72650,0.33516,3

ROUGE-2+StopWordRemoval,31659,SUMMARY.TXT,0.11986,0.40722,0.18520,3

ROUGE-SU4+StopWordRemoval,31659,SUMMARY.TXT,0.14131,0.42729,0.21238,3

ROUGE-L+StopWordRemoval,31655,SUMMARY.TXT,0.22837,0.54245,0.32142,3

ROUGE-1+StopWordRemoval,31655,SUMMARY.TXT,0.17281,0.70424,0.27753,3

ROUGE-2+StopWordRemoval,31655,SUMMARY.TXT,0.08092,0.30338,0.12777,3

ROUGE-SU4+StopWordRemoval,31655,SUMMARY.TXT,0.11039,0.33721,0.16633,3

ROUGE-L+StopWordRemoval,32865,SUMMARY.TXT,0.23091,0.43367,0.30136,3

ROUGE-1+StopWordRemoval,32865,SUMMARY.TXT,0.27919,0.53083,0.36593,3

ROUGE-2+StopWordRemoval,32865,SUMMARY.TXT,0.09411,0.24444,0.13590,3

ROUGE-SU4+StopWordRemoval,32865,SUMMARY.TXT,0.14980,0.27655,0.19433,3

ROUGE-L+StopWordRemoval,32623,SUMMARY.TXT,0.33571,0.51783,0.40734,3

ROUGE-1+StopWordRemoval,32623,SUMMARY.TXT,0.26019,0.66419,0.37390,3

ROUGE-2+StopWordRemoval,32623,SUMMARY.TXT,0.16310,0.38296,0.22877,3

ROUGE-SU4+StopWordRemoval,32623,SUMMARY.TXT,0.19100,0.40033,0.25862,3

ROUGE-L+StopWordRemoval,32609,SUMMARY.TXT,0.22405,0.34429,0.27145,3

ROUGE-1+StopWordRemoval,32609,SUMMARY.TXT,0.28026,0.50667,0.36089,3

ROUGE-2+StopWordRemoval,32609,SUMMARY.TXT,0.10713,0.15539,0.12682,3

ROUGE-SU4+StopWordRemoval,32609,SUMMARY.TXT,0.16286,0.21022,0.18353,3

ROUGE-L+StopWordRemoval,32051,SUMMARY.TXT,0.22072,0.50203,0.30663,3

ROUGE-1+StopWordRemoval,32051,SUMMARY.TXT,0.17428,0.60051,0.27015,3

ROUGE-2+StopWordRemoval,32051,SUMMARY.TXT,0.09259,0.27458,0.13848,3

ROUGE-SU4+StopWordRemoval,32051,SUMMARY.TXT,0.12503,0.31641,0.17923,3

ROUGE-L+StopWordRemoval,32170,SUMMARY.TXT,0.25770,0.47510,0.33415,4

ROUGE-1+StopWordRemoval,32170,SUMMARY.TXT,0.16022,0.59508,0.25247,4

ROUGE-2+StopWordRemoval,32170,SUMMARY.TXT,0.07961,0.25733,0.12160,4

ROUGE-SU4+StopWordRemoval,32170,SUMMARY.TXT,0.10429,0.27219,0.15080,4

ROUGE-L+StopWordRemoval,33029,SUMMARY.TXT,0.32678,0.47022,0.38559,3

ROUGE-1+StopWordRemoval,33029,SUMMARY.TXT,0.28552,0.62317,0.39162,3

ROUGE-2+StopWordRemoval,33029,SUMMARY.TXT,0.13583,0.24242,0.17411,3

ROUGE-SU4+StopWordRemoval,33029,SUMMARY.TXT,0.19486,0.28307,0.23082,3

ROUGE-L+StopWordRemoval,30796,SUMMARY.TXT,0.28559,0.45973,0.35232,3

ROUGE-1+StopWordRemoval,30796,SUMMARY.TXT,0.23309,0.57682,0.33202,3

ROUGE-2+StopWordRemoval,30796,SUMMARY.TXT,0.11749,0.24527,0.15888,3

ROUGE-SU4+StopWordRemoval,30796,SUMMARY.TXT,0.16540,0.27425,0.20635,3

ROUGE-L+StopWordRemoval,32179,SUMMARY.TXT,0.22006,0.45136,0.29586,3

ROUGE-1+StopWordRemoval,32179,SUMMARY.TXT,0.16337,0.55692,0.25263,3

ROUGE-2+StopWordRemoval,32179,SUMMARY.TXT,0.06455,0.31276,0.10701,3

ROUGE-SU4+StopWordRemoval,32179,SUMMARY.TXT,0.09140,0.33230,0.14336,3

ROUGE-L+StopWordRemoval,33027,SUMMARY.TXT,0.28631,0.32112,0.30272,4

ROUGE-1+StopWordRemoval,33027,SUMMARY.TXT,0.31879,0.49091,0.38655,4

ROUGE-2+StopWordRemoval,33027,SUMMARY.TXT,0.11857,0.15478,0.13428,4

ROUGE-SU4+StopWordRemoval,33027,SUMMARY.TXT,0.18740,0.20798,0.19716,4

ROUGE-L+StopWordRemoval,30795,SUMMARY.TXT,0.32465,0.36679,0.34444,4

ROUGE-1+StopWordRemoval,30795,SUMMARY.TXT,0.33033,0.49117,0.39500,4

