ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,30947,SUMMARY.TXT,0.24722,0.25658,0.25181,4

ROUGE-L+StopWordRemoval,31914,SUMMARY.TXT,0.28002,0.33117,0.30345,4

ROUGE-1+StopWordRemoval,31914,SUMMARY.TXT,0.31725,0.40813,0.35700,4

ROUGE-2+StopWordRemoval,31914,SUMMARY.TXT,0.13758,0.15011,0.14357,4

ROUGE-SU4+StopWordRemoval,31914,SUMMARY.TXT,0.19501,0.17796,0.18610,4

ROUGE-L+StopWordRemoval,30946,SUMMARY.TXT,0.33765,0.57215,0.42468,3

ROUGE-1+StopWordRemoval,30946,SUMMARY.TXT,0.29542,0.70344,0.41610,3

ROUGE-2+StopWordRemoval,30946,SUMMARY.TXT,0.14462,0.29226,0.19349,3

ROUGE-SU4+StopWordRemoval,30946,SUMMARY.TXT,0.20193,0.32870,0.25017,3

ROUGE-L+StopWordRemoval,30820,SUMMARY.TXT,0.28932,0.49146,0.36422,3

ROUGE-1+StopWordRemoval,30820,SUMMARY.TXT,0.19941,0.60875,0.30042,3

ROUGE-2+StopWordRemoval,30820,SUMMARY.TXT,0.10393,0.31695,0.15653,3

ROUGE-SU4+StopWordRemoval,30820,SUMMARY.TXT,0.14606,0.34566,0.20535,3

ROUGE-L+StopWordRemoval,30941,SUMMARY.TXT,0.29087,0.59571,0.39089,3

ROUGE-1+StopWordRemoval,30941,SUMMARY.TXT,0.24000,0.71517,0.35940,3

ROUGE-2+StopWordRemoval,30941,SUMMARY.TXT,0.13238,0.36957,0.19493,3

ROUGE-SU4+StopWordRemoval,30941,SUMMARY.TXT,0.17179,0.38193,0.23699,3

ROUGE-L+StopWordRemoval,30940,SUMMARY.TXT,0.33004,0.46073,0.38459,4

ROUGE-1+StopWordRemoval,30940,SUMMARY.TXT,0.29509,0.58571,0.39245,4

ROUGE-2+StopWordRemoval,30940,SUMMARY.TXT,0.15630,0.26433,0.19645,4

ROUGE-SU4+StopWordRemoval,30940,SUMMARY.TXT,0.20301,0.27348,0.23303,4

ROUGE-L+StopWordRemoval,31358,SUMMARY.TXT,0.26505,0.60852,0.36926,4

ROUGE-1+StopWordRemoval,31358,SUMMARY.TXT,0.19491,0.71121,0.30597,4

ROUGE-2+StopWordRemoval,31358,SUMMARY.TXT,0.10674,0.31834,0.15987,4

ROUGE-SU4+StopWordRemoval,31358,SUMMARY.TXT,0.13356,0.34132,0.19200,4

ROUGE-L+StopWordRemoval,30943,SUMMARY.TXT,0.33425,0.55446,0.41707,4

ROUGE-1+StopWordRemoval,30943,SUMMARY.TXT,0.26948,0.69745,0.38876,4

ROUGE-2+StopWordRemoval,30943,SUMMARY.TXT,0.13844,0.32154,0.19355,4

ROUGE-SU4+StopWordRemoval,30943,SUMMARY.TXT,0.17873,0.33882,0.23402,4

ROUGE-L+StopWordRemoval,30822,SUMMARY.TXT,0.24249,0.43627,0.31172,3

ROUGE-1+StopWordRemoval,30822,SUMMARY.TXT,0.21689,0.61494,0.32067,3

ROUGE-2+StopWordRemoval,30822,SUMMARY.TXT,0.10114,0.23686,0.14175,3

ROUGE-SU4+StopWordRemoval,30822,SUMMARY.TXT,0.14416,0.28369,0.19118,3

ROUGE-L+StopWordRemoval,30821,SUMMARY.TXT,0.29425,0.45363,0.35696,4

ROUGE-1+StopWordRemoval,30821,SUMMARY.TXT,0.26983,0.58603,0.36952,4

ROUGE-2+StopWordRemoval,30821,SUMMARY.TXT,0.09289,0.18634,0.12398,4

ROUGE-SU4+StopWordRemoval,30821,SUMMARY.TXT,0.15546,0.23503,0.18714,4

ROUGE-L+StopWordRemoval,30927,SUMMARY.TXT,0.30406,0.44928,0.36267,3

ROUGE-1+StopWordRemoval,30927,SUMMARY.TXT,0.34646,0.55135,0.42552,3

ROUGE-2+StopWordRemoval,30927,SUMMARY.TXT,0.11637,0.16552,0.13666,3

ROUGE-SU4+StopWordRemoval,30927,SUMMARY.TXT,0.20487,0.22303,0.21356,3

ROUGE-L+StopWordRemoval,30808,SUMMARY.TXT,0.31554,0.34233,0.32839,6

ROUGE-1+StopWordRemoval,30808,SUMMARY.TXT,0.32360,0.48690,0.38880,6

ROUGE-2+StopWordRemoval,30808,SUMMARY.TXT,0.13236,0.17272,0.14987,6

ROUGE-SU4+StopWordRemoval,30808,SUMMARY.TXT,0.18964,0.21410,0.20113,6

ROUGE-L+StopWordRemoval,33083,SUMMARY.TXT,0.27025,0.50207,0.35137,3

ROUGE-1+StopWordRemoval,33083,SUMMARY.TXT,0.21303,0.65091,0.32100,3

ROUGE-2+StopWordRemoval,33083,SUMMARY.TXT,0.10673,0.26145,0.15158,3

ROUGE-SU4+StopWordRemoval,33083,SUMMARY.TXT,0.14875,0.29137,0.19695,3

ROUGE-L+StopWordRemoval,32555,SUMMARY.TXT,0.29973,0.47027,0.36612,3

ROUGE-1+StopWordRemoval,32555,SUMMARY.TXT,0.32024,0.64216,0.42736,3

ROUGE-2+StopWordRemoval,32555,SUMMARY.TXT,0.18878,0.32924,0.23996,3

ROUGE-SU4+StopWordRemoval,32555,SUMMARY.TXT,0.24823,0.34745,0.28958,3

ROUGE-L+StopWordRemoval,31101,SUMMARY.TXT,0.25566,0.47837,0.33323,3

ROUGE-1+StopWordRemoval,31101,SUMMARY.TXT,0.22407,0.61734,0.32879,3

ROUGE-2+StopWordRemoval,31101,SUMMARY.TXT,0.10629,0.28839,0.15533,3

ROUGE-SU4+StopWordRemoval,31101,SUMMARY.TXT,0.14546,0.32132,0.20026,3

ROUGE-L+StopWordRemoval,32556,SUMMARY.TXT,0.28391,0.44981,0.34811,3

ROUGE-1+StopWordRemoval,32556,SUMMARY.TXT,0.26526,0.60550,0.36890,3

ROUGE-2+StopWordRemoval,32556,SUMMARY.TXT,0.11572,0.22865,0.15367,3

ROUGE-SU4+StopWordRemoval,32556,SUMMARY.TXT,0.17380,0.26984,0.21142,3

ROUGE-L+StopWordRemoval,32553,SUMMARY.TXT,0.34217,0.37543,0.35803,4

ROUGE-1+StopWordRemoval,32553,SUMMARY.TXT,0.33796,0.49094,0.40033,4

ROUGE-2+StopWordRemoval,32553,SUMMARY.TXT,0.15424,0.15583,0.15503,4

ROUGE-SU4+StopWordRemoval,32553,SUMMARY.TXT,0.23558,0.20096,0.21689,4

ROUGE-L+StopWordRemoval,31224,SUMMARY.TXT,0.20561,0.44745,0.28175,4

ROUGE-1+StopWordRemoval,31224,SUMMARY.TXT,0.17730,0.59399,0.27309,4

ROUGE-2+StopWordRemoval,31224,SUMMARY.TXT,0.07076,0.20623,0.10537,4

ROUGE-SU4+StopWordRemoval,31224,SUMMARY.TXT,0.10229,0.23633,0.14278,4

ROUGE-L+StopWordRemoval,32792,SUMMARY.TXT,0.30381,0.42672,0.35492,3

ROUGE-1+StopWordRemoval,32792,SUMMARY.TXT,0.33508,0.54644,0.41542,3

ROUGE-2+StopWordRemoval,32792,SUMMARY.TXT,0.14269,0.27561,0.18804,3

ROUGE-SU4+StopWordRemoval,32792,SUMMARY.TXT,0.18576,0.30586,0.23114,3

ROUGE-L+StopWordRemoval,31220,SUMMARY.TXT,0.31011,0.51111,0.38602,3

ROUGE-1+StopWordRemoval,31220,SUMMARY.TXT,0.28041,0.63975,0.38992,3

ROUGE-2+StopWordRemoval,31220,SUMMARY.TXT,0.14642,0.28557,0.19358,3

ROUGE-SU4+StopWordRemoval,31220,SUMMARY.TXT,0.19512,0.32188,0.24296,3

ROUGE-L+StopWordRemoval,31462,SUMMARY.TXT,0.35839,0.44743,0.39799,4

ROUGE-1+StopWordRemoval,31462,SUMMARY.TXT,0.35271,0.52632,0.42237,4

ROUGE-2+StopWordRemoval,31462,SUMMARY.TXT,0.18814,0.26376,0.21962,4

ROUGE-SU4+StopWordRemoval,31462,SUMMARY.TXT,0.24604,0.26655,0.25588,4

ROUGE-L+StopWordRemoval,30813,SUMMARY.TXT,0.29098,0.50858,0.37017,3

